noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
fcd29cc5-5683-4216-98b9-bce47074c29b,01,LOT-0000,cpv,45421131,"45422000,44221200",
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,LOT-0000,cpv,45331000,,
deebdf92-64cc-4802-981c-de0c3eef80e2,01,LOT-0000,cpv,45314000,,
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,LOT-0000,cpv,45422000,"39180000,39160000",
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,LOT-0001,cpv,45331000,,
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,cpv,45213331,"45213250,45300000,71240000",
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,LOT-0001,cpv,45422000,,
2f51da30-ace1-438c-87f3-d453fea657eb,01,LOT-0001,cpv,45432113,,
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,LOT-0000,cpv,45261100,45422000,
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,LOT-0001,cpv,45420000,44112310,
68799396-9c0b-41bc-84f6-3c646b99051e,01,LOT-0001,cpv,45331200,,
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,LOT-0000,cpv,45311200,,
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,LOT-0001,cpv,45000000,45324000,
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,LOT-0001,cpv,45223220,,
e4037a44-d382-4130-95c5-b24bacec472a,01,LOT-0000,cpv,45262300,,
531ef96a-411b-4e8d-9e60-ba326a97f149,01,LOT-0000,cpv,45231113,,
a3beabad-c6af-4c42-804c-bbcc86f3b382,01,LOT-0001,cpv,45000000,,
b24c4956-df4a-4280-851f-1a21bc105482,01,LOT-0001,cpv,31730000,"45311200,45314000,32400000,45314310",
50e20b67-265d-4b6d-a1cc-a2c8cab29bd0,01,LOT-0001,cpv,45113000,,
1077025c-9104-45b0-8184-c7b1e3d129a7,01,LOT-0000,cpv,45214210,"45432200,45111100,45112000,45232411,45262400,45113000,45262300,45262311,45232452,45112500,45262520,45410000,45223220,45262310",
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,LOT-0001,cpv,45000000,"45210000,71240000,71300000,71221000,45215100,45213312,45216110",
bd7642d8-4463-4602-8602-19e6282d684c,01,LOT-0001,cpv,45315000,,
6e40078a-968e-4451-a6f9-0066cfea02be,01,LOT-0001,cpv,45310000,,
d0413b88-e4ff-4670-80a4-bd8c90178d61,01,LOT-0001,cpv,45112700,,
a1922220-370b-4b20-9468-db1dcc39e4e2,01,LOT-0001,cpv,45421143,"39515410,39515430",
d8a37cbb-1fd9-4cdc-be92-43d9784ee74e,01,LOT-0001,cpv,45000000,45331000,
d9f6395a-527b-49cd-a0ec-bf43a062cdf0,01,LOT-0001,cpv,45420000,,
