noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
25776550,2,,20457 Hamburg,,DE6,DEU
25823306,1,,97072 Würzburg,,DE2,DEU
25823474,1,,67487 Maikammer,,DEB,DEU
25825840,1,,55743 Idar-Oberstein,,DEB,DEU
25823294,1,,23911 Harmsdorf,,DEF,DEU
25826942,1,,27383 Gemeinde Scheeßel,,DE9,DEU
25827168,1,,Dresden,,DED,DEU
25822608,1,,01307 Dresden,,DED,DEU
25822604,1,,09526 Olbernhau,,DED,DEU
25822994,1,,71069 Sindelfingen,,DE1,DEU
25659566,4,,92439 Bodenwöhr,,DE2,DEU
25825610,1,,50126 Bergheim,,DEA,DEU
25823366,1,,15910 Krausnick - Groß Wasserburg,,DE4,DEU
25825606,1,,42119 Wuppertal,,DEA,DEU
25823060,1,,49134 Wallenhorst,,DE9,DEU
25825602,1,,44149 Dortmund,,DEA,DEU
25822800,1,,06295 Lutherstadt Eisleben OT Volkstedt,,DEE,DEU
25823470,1,,56812 Cochem,,DEB,DEU
25826918,1,,17192 Kargow,,DE8,DEU
25822796,1,,06295 Luterstadt Eisleben OT Volkstedt,,DEE,DEU
25822990,1,,71083 Herrenberg,,DE1,DEU
25807478,2,,21035 Hamburg,,DE6,DEU
25822792,1,,06295 Lutherstadt Eisleben OT Volkstedt,,DEE,DEU
25822592,1,,01587 Riesa,,DED,DEU
25825666,1,,51688 Wipperfürth,,DEA,DEU
25825636,1,,48653 Coesfeld,,DEA,DEU
25758778,3,,A391 AK BS-Nord -  AS Wenden,,,DEU
25823052,1,,26340 Zetel,,DE9,DEU
25825586,1,,41836 Hückelhoven-Ratheim,,DEA,DEU
25822652,1,,01239 Dresden,,DED,DEU
25823772,1,,"Universität des Saarlandes
66123 Campus Saarbrücken
66125 Campus Dudweiler",,,DEU
25826946,1,,23730 Sierksdorf,,DEF,DEU
25822568,1,,09456 Annaberg-Buchholz,,DED,DEU
25823254,1,,14059 Berlin,,DE3,DEU
25825458,1,,"Friedberg, Frankfurter Strasse",,DE7,DEU
25822564,1,,01877 Demitz-Thumitz,,DED,DEU
25823764,1,,Bellheim,,DEB,DEU
25822740,1,,99820 Hörselberg-Hainich OT Reichenbach/Behringen,,DEG,DEU
25822560,1,,01612 Glaubitz,,DED,DEU
25825442,1,,Straßenmeisterei Mittenwalde,,,DEU
25826926,1,,"32425 Minden, Innenstadt",,DEA,DEU
25771066,2,,"Ökologische Station
An der Südradde
49624 Löningen",,,DEU
25823162,1,,33184 Altenbeken,,DEA,DEU
25822700,1,,08412 Werdau,,DED,DEU
25823044,1,,26349 Jade,,DE9,DEU
25826922,1,,66871 Konken,,DEB,DEU
25825706,1,,53359 Rheinbach,,DEA,DEU
25826914,1,,"84028 Landshut, Altstadt",,DE2,DEU
25826004,1,,82110 Germering,,DE2,DEU
25826008,1,,82110 Germering,,DE2,DEU
25823466,1,,66953 Pirmasens,,DEB,DEU
25825702,1,,51491 Overath,,DEA,DEU
25823370,1,,16321 Bernau bei Berlin,,DE4,DEU
25826886,1,,"26131 Eichenstraße, Oldenburg (Oldb)",,DE9,DEU
25826906,1,,54589 Stadtkyll,,DEB,DEU
25823040,1,,38116 Braunschweig,,DE9,DEU
25823748,1,,"BAB A 10 km Ersatzneubau BW57
AM Werder",,,DEU
25823170,1,,37539 Bad Grund (Harz),,DE9,DEU
25825296,1,,54528 Salmtal,,DEB,DEU
25822552,1,,01877 Demitz-Thumitz,,DED,DEU
25823032,1,,27637 Wurster Nordseeküste,,DE9,DEU
25823016,1,,30519 Hannover,,DE9,DEU
25823402,1,,01979 Lauchhammer Ost,,DE4,DEU
25822732,1,,99976 Südeichsfeld OT Lengenfeld u. Stein,,DEG,DEU
25823654,1,,61118 Bad Vilbel,,DE7,DEU
