noticeIdentifier,noticeVersion,lotIdentifier,scope,documentReferenceId,documentType,description,rawUrl,url
bd7642d8-4463-4602-8602-19e6282d684c,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4Y9MMPNJ/documents,https://www.dtvp.de/Satellite/notice/CXP4Y9MMPNJ/documents
6e40078a-968e-4451-a6f9-0066cfea02be,01,LOT-0001,lot,6e40078a-968e-4451-a6f9-0066cfea02be,non-restricted-document,,https://www.deutsche-evergabe.de/dashboards/dashboard_off/6e40078a-968e-4451-a6f9-0066cfea02be,https://www.deutsche-evergabe.de/dashboards/dashboard_off/6e40078a-968e-4451-a6f9-0066cfea02be
d0413b88-e4ff-4670-80a4-bd8c90178d61,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://vergabe.niedersachsen.de/Satellite/notice/CXQ6YD9RSD4/documents,https://vergabe.niedersachsen.de/Satellite/notice/CXQ6YD9RSD4/documents
a1922220-370b-4b20-9468-db1dcc39e4e2,01,LOT-0001,lot,av286b64-eu,non-restricted-document,,https://plattform.aumass.de/Veroeffentlichung/av286b64-eu,https://plattform.aumass.de/Veroeffentlichung/av286b64-eu
d8a37cbb-1fd9-4cdc-be92-43d9784ee74e,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4YMZMP83/documents,https://www.dtvp.de/Satellite/notice/CXP4YMZMP83/documents
d9f6395a-527b-49cd-a0ec-bf43a062cdf0,01,LOT-0001,lot,329290,non-restricted-document,,https://www.staatsanzeiger-eservices.de/aJs/EFormsBekVuUrl?z_param=329290,https://www.staatsanzeiger-eservices.de/aJs/EFormsBekVuUrl?z_param=329290
41d7ac31-f585-4156-af42-5415f9f2b774,01,LOT-0000,lot,303146,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/1/tenderId/303146,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/1/tenderId/303146
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.tender24.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a09fabe846-3cae72fd1d4f2dbe,https://www.tender24.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a09fabe846-3cae72fd1d4f2dbe
afeff892-c330-4fb8-973c-6b65d1d3c1c1,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXS0YR4DYY8V5RM6/documents,https://www.dtvp.de/Satellite/notice/CXS0YR4DYY8V5RM6/documents
a040d776-b7d8-40d6-81c9-b50e1aa6daeb,01,LOT-0001,lot,entfällt,non-restricted-document,,https://bi-medien.de/ausschreibungsdienste/ausschreibungen/D462814098,https://bi-medien.de/ausschreibungsdienste/ausschreibungen/D462814098
f1c9a3f9-c8d4-42b4-9e98-1838d72567e0,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXVTYYDDYRDC8LKZ/documents,https://www.dtvp.de/Satellite/notice/CXVTYYDDYRDC8LKZ/documents
a98df0ee-02df-4926-a699-f0264bc70ae4,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19ff0b78d08-7bd361ddde1bcea1,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19ff0b78d08-7bd361ddde1bcea1
2c665769-7e2e-4628-991e-28dcf9c3821a,01,LOT-0000,lot,302734,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/1/tenderId/302734,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/1/tenderId/302734
d67d21b0-4b54-4ba6-96e2-3b6b23819299,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.vergabe-westfalen.de/VMPSatellite/notice/CXPWYRELNQS/documents,https://www.vergabe-westfalen.de/VMPSatellite/notice/CXPWYRELNQS/documents
1b85bfe4-fb5b-49bb-84de-474fa2eb9ef5,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4YMEMPN0/documents,https://www.dtvp.de/Satellite/notice/CXP4YMEMPN0/documents
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a0616d82d2-3ba8e43df93a1960,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a0616d82d2-3ba8e43df93a1960
358aa36b-0b4d-406d-b3f0-3823146a9ea6,01,LOT-0001,lot,LOT-0001,non-restricted-document,,https://plattform.aumass.de/Veroeffentlichung/av284b57-eu,https://plattform.aumass.de/Veroeffentlichung/av284b57-eu
